Cluster,N_Cone,N_True_Lit,N_Pred_MCTNC,F1_Score,R50_Core_deg,R90_Halo_deg,Mean_Plx_mas,Exec_Time_s
UBC1001,5829,29,29,1.0,0.0737,0.1394,0.371,0.125
UBC1002,14271,71,68,0.9927,0.0463,0.1272,0.2768,0.116
UBC1003,8844,44,44,1.0,0.0427,0.1071,0.394,0.112
UBC1004,20418,418,373,0.9431,0.0629,0.1524,0.3782,0.191
UBC1005,6231,31,31,1.0,0.0829,0.1614,0.6608,0.108
UBC1006,15477,77,77,1.0,0.0759,0.1666,0.3646,0.111
UBC1007,6432,32,32,1.0,0.0619,0.1085,0.6507,0.106
UBC1008,5829,29,28,0.9825,0.068,0.1622,0.3373,0.113
UBC1009,9246,46,46,1.0,0.0785,0.1375,0.3273,0.111
UBC1010,9246,46,45,0.989,0.0579,0.1379,0.3681,0.111
UBC1011,20235,235,220,0.967,0.0537,0.1386,0.3383,0.11
UBC1012,8844,44,42,0.9882,0.0345,0.0923,0.4002,0.113
UBC1013,10050,50,49,1.0,0.1181,0.2175,0.5822,0.113
UBC1014,5628,28,28,1.0,0.0884,0.1796,0.4838,0.107
UBC1015,20565,565,360,0.7792,0.06,0.1953,0.3001,0.186
UBC1016,4422,22,21,1.0,0.0842,0.13,0.5652,0.105
UBC1017,5226,26,26,1.0,0.071,0.141,0.5609,0.111
UBC1018,20154,154,148,0.9801,0.05,0.1102,0.3673,0.123
UBC1019,15678,78,75,0.9804,0.0719,0.1708,0.4863,0.113
UBC1020,20111,111,109,0.9954,0.0828,0.1692,0.4751,0.113
UBC1021,4824,24,24,1.0,0.0574,0.1162,0.6125,0.103
UBC1022,7638,38,25,0.8065,0.0462,0.1285,0.3896,0.111
UBC1023,8040,40,40,1.0,0.0757,0.1335,0.5942,0.108
UBC1024,20133,133,118,0.9516,0.0552,0.1332,0.3631,0.114
UBC1025,5226,26,24,0.96,0.0493,0.1181,0.3555,0.111
UBC1026,4824,24,24,1.0,0.068,0.141,0.4886,0.103
UBC1027,20229,229,209,0.9543,0.0498,0.134,0.2569,0.112
UBC1028,4020,20,20,1.0,0.0477,0.0978,0.3385,0.108
UBC1029,9447,47,43,0.9885,0.0693,0.1374,0.6062,0.107
UBC1030,4623,23,23,1.0,0.0572,0.1138,0.4648,0.106
UBC1031,9045,45,42,0.9655,0.035,0.0927,0.399,0.114
UBC1032,3216,16,16,1.0,0.066,0.104,0.2898,0.1
UBC1033,6834,34,32,0.9846,0.0953,0.1605,0.4331,0.107
UBC1034,9045,45,45,1.0,0.0684,0.1282,0.4793,0.117
UBC1035,20112,112,99,0.9384,0.0415,0.0901,0.3726,0.116
UBC1036,20112,112,107,0.9772,0.0512,0.1191,0.3435,0.119
UBC1037,17085,85,83,0.994,0.0711,0.1685,0.3536,0.112
UBC1038,10251,51,49,0.98,0.0563,0.114,0.3254,0.112
UBC1039,11658,58,56,1.0,0.0997,0.2323,0.3032,0.111
UBC1040,8040,40,40,1.0,0.1283,0.2223,0.4486,0.102
UBC1041,7035,35,30,0.9231,0.0467,0.0929,0.3125,0.107
UBC1042,19095,95,85,0.9497,0.0471,0.1168,0.2689,0.113
UBC1043,6231,31,28,0.9492,0.0356,0.0966,0.4487,0.106
UBC1044,6030,30,30,1.0,0.063,0.129,0.4168,0.108
UBC1045,10854,54,52,0.9905,0.0728,0.168,0.4486,0.113
UBC1046,6231,31,31,1.0,0.0417,0.1412,0.473,0.104
UBC1047,6834,34,33,1.0,0.1173,0.1743,0.3347,0.107
UBC1048,11658,58,56,0.9825,0.076,0.1894,0.2542,0.112
UBC1049,20231,231,20,0.1613,0.098,0.1671,0.303,0.114
UBC1050,5427,27,27,1.0,0.0681,0.1796,0.3017,0.108
UBC1051,16080,80,78,1.0,0.1025,0.2526,0.3344,0.111
UBC1052,6231,31,30,1.0,0.0822,0.2187,0.2886,0.113
UBC1053,12462,62,58,0.9831,0.0516,0.1714,0.2645,0.108
UBC1054,5427,27,25,0.9615,0.0544,0.1048,0.3221,0.106
UBC1055,9849,49,48,0.9897,0.0824,0.2081,0.2676,0.107
UBC1056,4422,22,21,0.9767,0.0501,0.09,0.5263,0.106
UBC1057,20179,179,169,0.9769,0.0413,0.1457,0.2891,0.116
UBC1058,9045,45,45,1.0,0.0756,0.1463,0.4623,0.113
UBC1059,5628,28,28,1.0,0.0225,0.0743,0.2855,0.117
UBC1060,9447,47,44,0.9888,0.0567,0.1551,0.4671,0.117
UBC1061,15879,79,79,1.0,0.08,0.1707,0.268,0.111
UBC1062,6432,32,32,1.0,0.0624,0.1247,0.2986,0.107
UBC1063,14271,71,67,0.971,0.0367,0.1418,0.189,0.113
UBC1064,19899,99,97,0.9898,0.0916,0.2221,0.2776,0.118
UBC1065,3012,12,12,1.0,0.0545,0.126,0.351,0.106
UBC1066,7437,37,37,1.0,0.0549,0.111,0.3669,0.11
UBC1067,10854,54,50,0.9615,0.0371,0.1477,0.1817,0.11
UBC1068,6029,30,31,0.918,0.0625,0.1268,0.2894,0.11
UBC1069,5628,28,28,1.0,0.0287,0.0605,0.3235,0.106
UBC1070,3417,17,17,1.0,0.0546,0.099,0.479,0.105
UBC1071,3618,18,17,1.0,0.065,0.0997,0.2892,0.106
UBC1072,15678,78,76,0.987,0.0659,0.1322,0.2167,0.112
UBC1073,19899,99,95,0.9845,0.0727,0.1896,0.2537,0.113
UBC1074,4824,24,24,1.0,0.069,0.1419,0.3914,0.107
UBC1075,7839,39,38,1.0,0.0432,0.1477,0.2564,0.109
UBC1076,6432,32,32,1.0,0.0428,0.1337,0.3634,0.107
UBC1077,12261,61,54,0.9391,0.0465,0.1544,0.3357,0.113
UBC1078,9648,48,47,1.0,0.0699,0.1414,0.3318,0.109
UBC1079,5628,28,28,1.0,0.0586,0.1015,0.4853,0.105
UBC1080,15075,75,74,1.0,0.0823,0.1591,0.3675,0.112
UBC1081,10452,52,49,0.9703,0.0211,0.0631,0.1694,0.11
UBC1082,7437,37,37,1.0,0.0282,0.0846,0.1536,0.111
UBC1083,3618,18,18,1.0,0.064,0.109,0.7835,0.103
UBC1084,6432,32,30,0.9677,0.0312,0.0817,0.4568,0.111
UBC1085,12462,62,57,0.9661,0.0374,0.0736,0.2336,0.116
UBC1086,7437,37,37,1.0,0.069,0.1739,0.2864,0.109
UBC1087,3819,19,18,0.973,0.0338,0.0849,0.5986,0.107
UBC1088,6633,33,32,1.0,0.0781,0.1593,0.5504,0.112
UBC1089,7035,35,32,0.9552,0.0589,0.1637,0.3535,0.109
UBC1090,4020,20,19,1.0,0.0469,0.0625,0.4031,0.104
UBC1091,12261,61,54,0.9474,0.1427,0.223,0.3367,0.109
UBC1092,5628,28,27,0.9818,0.0558,0.1182,0.27,0.104
UBC1093,19497,97,96,1.0,0.0661,0.1873,0.2789,0.117
UBC1094,15879,79,78,0.9936,0.1334,0.2165,0.2027,0.113
UBC1095,8643,43,43,1.0,0.0364,0.1074,0.1425,0.111
