cluster,tier,r50,r90,mean_plx,n_catalog_only,n_pred_only,label_suspect_flag,fatal_disruption_flag,faint_flag,halo_flag,audit_r_median_deg,audit_pm_disp_masyr,audit_plx_mad_mas,audit_reasons,diagnostic_png_path
UBC1004,2,0.0622,0.1522,0.3782,43,0,0,0,True,False,0.063,0.1587,0.0389,Clean,plots/UBC1004_MCTNC_Diagnostic.png
UBC1015,2,0.0596,0.1958,0.2978,183,0,0,0,True,True,0.0705,0.1419,0.0522,Clean,plots/UBC1015_MCTNC_Diagnostic.png
UBC1022,2,0.0462,0.1285,0.3896,13,0,0,0,False,True,0.0518,0.0792,0.0119,Clean,plots/UBC1022_MCTNC_Diagnostic.png
UBC1024,2,0.0578,0.1538,0.362,11,0,0,0,False,True,0.0588,0.1541,0.0674,Clean,plots/UBC1024_MCTNC_Diagnostic.png
UBC1025,2,0.0493,0.1181,0.3555,2,0,0,0,True,True,0.0533,0.1267,0.013,Clean,plots/UBC1025_MCTNC_Diagnostic.png
UBC1031,2,0.035,0.0927,0.399,3,0,0,0,False,True,0.0352,0.0999,0.0245,Clean,plots/UBC1031_MCTNC_Diagnostic.png
UBC1035,2,0.0432,0.093,0.3743,8,0,0,0,True,True,0.0443,0.0967,0.0368,Clean,plots/UBC1035_MCTNC_Diagnostic.png
UBC1041,2,0.045,0.0755,0.314,8,0,0,0,True,True,0.0516,0.0923,0.0157,Clean,plots/UBC1041_MCTNC_Diagnostic.png
UBC1042,2,0.0468,0.1144,0.2691,13,0,0,0,False,True,0.0518,0.1263,0.0266,Clean,plots/UBC1042_MCTNC_Diagnostic.png
UBC1043,2,0.0356,0.0966,0.4487,3,0,0,0,False,True,0.0378,0.0541,0.0333,Clean,plots/UBC1043_MCTNC_Diagnostic.png
UBC1049,2,0.0867,0.2312,0.3164,17,0,0,0,True,True,0.0881,0.1272,0.0394,Clean,plots/UBC1049_MCTNC_Diagnostic.png
UBC1067,2,0.0399,0.1475,0.1821,3,0,0,0,True,True,0.0424,0.0642,0.0423,Clean,plots/UBC1067_MCTNC_Diagnostic.png
UBC1068,4,0.0565,0.1179,0.2884,4,3,0,0,True,True,0.0626,0.0928,0.0179,Clean,plots/UBC1068_MCTNC_Diagnostic.png
UBC1075,2,0.0432,0.1369,0.2564,3,0,0,0,True,True,0.0437,0.0793,0.0169,Clean,plots/UBC1075_MCTNC_Diagnostic.png
UBC1077,2,0.0465,0.1544,0.3357,7,0,0,0,False,True,0.0535,0.107,0.034,Clean,plots/UBC1077_MCTNC_Diagnostic.png
UBC1084,2,0.0312,0.0817,0.4568,2,0,0,0,False,True,0.0349,0.0835,0.0191,Clean,plots/UBC1084_MCTNC_Diagnostic.png
UBC1087,2,0.0338,0.0849,0.5986,1,0,0,0,False,True,0.0359,0.0592,0.016,Clean,plots/UBC1087_MCTNC_Diagnostic.png
UBC1089,2,0.0658,0.1759,0.353,2,0,0,0,False,True,0.0715,0.076,0.02,Clean,plots/UBC1089_MCTNC_Diagnostic.png
UBC1100,2,0.0557,0.1468,0.2454,3,0,0,0,True,True,0.0558,0.0845,0.0144,Clean,plots/UBC1100_MCTNC_Diagnostic.png
UBC1102,2,0.0249,0.0775,0.3218,11,0,0,0,False,True,0.0331,0.0976,0.0267,Clean,plots/UBC1102_MCTNC_Diagnostic.png
UBC1103,3,0.1946,0.4882,0.5882,0,254,0,0,False,False,0.173,0.0927,0.0156,Clean,plots/UBC1103_MCTNC_Diagnostic.png
UBC1104,2,0.0427,0.077,0.771,18,0,0,0,False,True,0.0635,0.1071,0.0122,Clean,plots/UBC1104_MCTNC_Diagnostic.png
UBC1106,2,0.0836,0.1663,0.5518,4,0,0,0,True,True,0.0855,0.1153,0.0152,Clean,plots/UBC1106_MCTNC_Diagnostic.png
UBC1107,4,0.086,0.2363,0.3172,1,1,0,0,False,True,0.086,0.0776,0.0135,Clean,plots/UBC1107_MCTNC_Diagnostic.png
UBC1108,2,0.0359,0.1034,0.2107,3,0,0,0,True,True,0.0364,0.1189,0.0229,Clean,plots/UBC1108_MCTNC_Diagnostic.png
UBC1109,2,0.0404,0.1368,0.3203,3,0,0,0,True,True,0.0451,0.071,0.0221,Clean,plots/UBC1109_MCTNC_Diagnostic.png
UBC1110,2,0.0307,0.0836,0.4157,2,0,0,0,False,True,0.0314,0.0874,0.0256,Clean,plots/UBC1110_MCTNC_Diagnostic.png
UBC1111,3,0.4518,0.7095,0.1892,0,308,0,0,False,False,0.1129,0.2578,0.0162,Clean,plots/UBC1111_MCTNC_Diagnostic.png
UBC1112,2,0.047,0.1235,0.3307,9,0,0,0,True,True,0.0546,0.0614,0.0135,Clean,plots/UBC1112_MCTNC_Diagnostic.png
UBC1113,2,0.0316,0.0829,0.2698,4,0,0,0,False,True,0.0345,0.0806,0.0264,Clean,plots/UBC1113_MCTNC_Diagnostic.png
UBC1115,2,0.0451,0.1217,0.4168,2,0,0,0,True,True,0.0494,0.1295,0.0265,Clean,plots/UBC1115_MCTNC_Diagnostic.png
UBC1117,2,0.0792,0.1719,0.3475,3,0,0,0,True,False,0.0821,0.1026,0.0179,Clean,plots/UBC1117_MCTNC_Diagnostic.png
UBC1121,2,0.0582,0.1655,0.2894,7,0,0,0,True,True,0.0625,0.0812,0.023,Clean,plots/UBC1121_MCTNC_Diagnostic.png
UBC1122,2,0.0998,0.1837,0.3268,5,0,0,0,True,False,0.1015,0.1268,0.0249,Clean,plots/UBC1122_MCTNC_Diagnostic.png
UBC1125,2,0.0567,0.1566,0.2932,6,0,0,0,True,True,0.067,0.1181,0.0284,Clean,plots/UBC1125_MCTNC_Diagnostic.png
UBC1127,2,0.0609,0.1557,0.4742,3,0,0,0,False,True,0.0686,0.0564,0.0195,Clean,plots/UBC1127_MCTNC_Diagnostic.png
UBC1130,2,0.0931,0.1631,0.4964,5,0,0,0,False,True,0.0979,0.0765,0.025,Clean,plots/UBC1130_MCTNC_Diagnostic.png
UBC1140,2,0.0513,0.1416,0.161,5,0,0,0,False,True,0.0518,0.1043,0.0356,Clean,plots/UBC1140_MCTNC_Diagnostic.png
UBC1142,2,0.0694,0.1484,0.3294,4,0,0,0,False,True,0.0747,0.1186,0.0248,Clean,plots/UBC1142_MCTNC_Diagnostic.png
UBC1146,2,0.0593,0.107,0.2612,3,0,0,0,True,True,0.0599,0.1032,0.0201,Clean,plots/UBC1146_MCTNC_Diagnostic.png
UBC1161,2,0.0538,0.1222,0.1391,4,0,0,0,False,True,0.0576,0.1191,0.0303,Clean,plots/UBC1161_MCTNC_Diagnostic.png
UBC1165,2,0.1526,0.2291,0.2147,41,0,0,0,False,True,0.1773,0.1551,0.0188,Clean,plots/UBC1165_MCTNC_Diagnostic.png
UBC1168,2,0.0616,0.1868,0.3092,4,0,0,0,True,True,0.0667,0.0942,0.0206,Clean,plots/UBC1168_MCTNC_Diagnostic.png
UBC1169,2,0.088,0.2254,0.1891,6,0,0,0,False,True,0.0949,0.0857,0.0334,Clean,plots/UBC1169_MCTNC_Diagnostic.png
UBC1171,3,0.7117,0.9696,0.3368,0,374,0,0,False,False,0.0553,0.0792,0.0049,Clean,plots/UBC1171_MCTNC_Diagnostic.png
UBC1174,4,0.0663,0.1419,0.4576,0,1,0,0,False,False,0.0652,0.0497,0.0295,Clean,plots/UBC1174_MCTNC_Diagnostic.png
UBC1181,2,0.0447,0.1024,0.1681,3,0,0,0,False,True,0.0456,0.0776,0.0237,Clean,plots/UBC1181_MCTNC_Diagnostic.png
UBC1183,2,0.0511,0.123,0.3852,2,0,0,0,True,False,0.0511,0.0799,0.0214,Clean,plots/UBC1183_MCTNC_Diagnostic.png
UBC1189,2,0.031,0.1329,0.3678,3,0,0,0,True,True,0.0377,0.0678,0.0281,Clean,plots/UBC1189_MCTNC_Diagnostic.png
UBC1192,2,0.0345,0.1678,0.2498,4,0,0,0,False,True,0.0345,0.1,0.0235,Clean,plots/UBC1192_MCTNC_Diagnostic.png
UBC1194,3,0.3337,0.6258,0.3701,64,338,1,1,False,False,79.1587,0.1113,0.0392,FATAL Spatial Disruption (R_med=79.16°),plots/UBC1194_MCTNC_Diagnostic.png
UBC1199,2,0.038,0.1555,0.4179,2,0,0,0,True,True,0.0432,0.052,0.0219,Clean,plots/UBC1199_MCTNC_Diagnostic.png
UBC1209,3,0.4371,0.7567,0.3381,8,219,0,0,False,False,0.1954,0.1057,0.0338,Clean,plots/UBC1209_MCTNC_Diagnostic.png
UBC1211,2,0.0518,0.1433,0.1886,6,0,0,0,True,False,0.0518,0.0883,0.0203,Clean,plots/UBC1211_MCTNC_Diagnostic.png
UBC1216,4,0.0888,0.2003,0.3413,0,4,0,0,False,False,0.0705,0.074,0.0281,Clean,plots/UBC1216_MCTNC_Diagnostic.png
UBC1224,2,0.0412,0.0986,0.2641,8,0,0,0,False,True,0.0441,0.079,0.0164,Clean,plots/UBC1224_MCTNC_Diagnostic.png
UBC1233,2,0.0564,0.1286,0.3132,6,0,0,0,False,True,0.0636,0.0688,0.0266,Clean,plots/UBC1233_MCTNC_Diagnostic.png
UBC1237,3,0.4293,0.84,0.4307,1,328,0,0,False,False,0.1579,0.1222,0.0175,Clean,plots/UBC1237_MCTNC_Diagnostic.png
UBC1246,3,0.4302,0.7108,0.3366,3,315,0,0,False,True,0.124,0.1149,0.03,Clean,plots/UBC1246_MCTNC_Diagnostic.png
UBC1247,4,0.0417,0.1652,0.3216,0,1,0,0,False,False,0.0412,0.071,0.0075,Clean,plots/UBC1247_MCTNC_Diagnostic.png
UBC1253,2,0.0803,0.1608,0.2413,6,0,0,0,False,True,0.0902,0.0997,0.0232,Clean,plots/UBC1253_MCTNC_Diagnostic.png
UBC1254,2,0.0974,0.2374,0.3341,7,0,0,0,False,True,0.0985,0.1031,0.0529,Clean,plots/UBC1254_MCTNC_Diagnostic.png
