cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_anchor_prior,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.07582990000082646,center0,0.0,1.0074295663365964,CORE|k=24|tau=0.55,24.0,0.55,0.9696929454803467,0.49306634068489075,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_anchor_prior,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.08268159999715863,center0,0.0,1.003627236944081,CORE|k=48|tau=0.45,48.0,0.45,0.9462718963623047,0.4641932547092438,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_anchor_prior,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.08007540000107838,center0,0.0,1.0207463901373452,CORE|k=24|tau=0.45,24.0,0.45,0.9727024435997009,0.4599325954914093,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_anchor_prior,20418,20418,0,418,123,1.0,0.2942583732057416,0.45471349353049906,0.0,0.09462420000636484,center1_refined,1.7326198518276215,0.8029478601735327,CORE|k=32|tau=0.75,32.0,0.75,0.8528767228126526,1.712600827217102,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_anchor_prior,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.07628809999732766,center0,0.0,0.9990762928757527,CORE|k=24|tau=0.45,24.0,0.45,0.9678035378456116,0.5805709362030029,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_anchor_prior,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.08533109999552835,center0,0.0,0.9824140945348391,CORE|k=48|tau=0.45,48.0,0.45,0.9406406283378601,0.6816074848175049,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_anchor_prior,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.12128929999744287,center0,0.0,1.0204204921770639,CORE|k=24|tau=0.45,24.0,0.45,0.9812251925468445,0.4909886121749878,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_anchor_prior,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.07387150000431575,center0,0.0,1.004968917965687,CORE|k=24|tau=0.55,24.0,0.55,0.9688003659248352,0.5062980651855469,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_anchor_prior,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.08049449999816716,center0,0.0,1.0020578403870877,CORE|k=24|tau=0.55,24.0,0.55,0.96330326795578,0.5809082984924316,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_anchor_prior,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.08563069999945583,center0,0.0,1.0016851228667174,CORE|k=32|tau=0.45,32.0,0.45,0.9596935510635376,0.5462120771408081,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1011,no_anchor_prior,20235,20235,0,235,172,1.0,0.7319148936170212,0.8452088452088452,0.0,0.09447099999670172,center0,0.0,0.9000982882091121,CORE|k=48|tau=0.75,48.0,0.75,0.887829601764679,1.183669090270996,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1012,no_anchor_prior,8843,8844,1,43,43,1.0,0.9772727272727273,0.9885057471264368,0.0,0.08435219999955734,center0,0.0,1.0157991990010085,CORE|k=12|tau=0.45,12.0,0.45,0.9692237973213196,0.46634018421173096,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1013,no_anchor_prior,10049,10050,1,49,48,1.0,0.96,0.9795918367346939,0.0,0.0827114999992773,center0,0.0,0.9479096968972286,CORE|k=18|tau=0.65,18.0,0.65,0.937561571598053,0.9363742470741272,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1014,no_anchor_prior,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.07106430000567343,center0,0.0,0.9910012294235827,CORE|k=18|tau=0.55,18.0,0.55,0.9580492377281189,0.5410379767417908,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
