cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_candidate_protocol,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.18263830000068992,center0,0.0,1.0024977675474842,CORE|k=12|tau=0.55,12.0,0.55,0.9807328581809998,0.4975014328956604,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_candidate_protocol,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.41473439999390393,center0,0.0,1.014977682422267,CORE|k=18|tau=0.55,18.0,0.55,0.9827437400817871,0.467892587184906,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_candidate_protocol,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.2965697999970871,center0,0.0,1.0158685022086897,CORE|k=18|tau=0.55,18.0,0.55,0.9863432049751282,0.4541167616844177,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_candidate_protocol,20418,20418,0,418,204,1.0,0.4880382775119617,0.6559485530546624,0.0,0.6946901999981492,center1_refined,1.7326198518276215,0.7384786926569553,CORE|k=12|tau=0.75,12.0,0.75,0.843379020690918,1.9990441799163818,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_candidate_protocol,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.19066580000071554,center0,0.0,0.993451545278377,CORE|k=12|tau=0.55,12.0,0.55,0.9779973030090332,0.5827270746231079,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_candidate_protocol,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.4389099999971222,center0,0.0,0.987863510982143,CORE|k=32|tau=0.55,32.0,0.55,0.9722030162811279,0.6818352937698364,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_candidate_protocol,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.19124050000391435,center0,0.0,1.0097773866067912,CORE|k=12|tau=0.55,12.0,0.55,0.9861965179443359,0.49110960960388184,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_candidate_protocol,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.18419379999977536,center0,0.0,0.997165928708728,CORE|k=12|tau=0.55,12.0,0.55,0.9766852259635925,0.5081341862678528,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_candidate_protocol,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.3002009999981965,center0,0.0,0.99545366656217,CORE|k=12|tau=0.55,12.0,0.55,0.9781230688095093,0.6048319339752197,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_candidate_protocol,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.2898021999935736,center0,0.0,1.0043126070703865,CORE|k=12|tau=0.55,12.0,0.55,0.9815983772277832,0.5435600280761719,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1011,no_candidate_protocol,20235,20235,0,235,209,1.0,0.8893617021276595,0.9414414414414414,0.0,0.6289374999978463,center0,0.0,0.8717308959962008,CORE|k=12|tau=0.75,12.0,0.75,0.9065322279930115,1.34201180934906,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1012,no_candidate_protocol,8843,8844,1,43,43,1.0,0.9772727272727273,0.9885057471264368,0.0,0.3305483000003733,center0,0.0,1.0123289267303495,CORE|k=12|tau=0.55,12.0,0.55,0.9845726490020752,0.46594491600990295,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1013,no_candidate_protocol,10049,10050,1,49,48,1.0,0.96,0.9795918367346939,0.0,0.3415279999971972,center0,0.0,0.9422546532760916,CORE|k=12|tau=0.75,12.0,0.75,0.9521510004997253,0.9353424310684204,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1014,no_candidate_protocol,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.22546470000088448,center0,0.0,0.986998521380925,CORE|k=18|tau=0.55,18.0,0.55,0.9693441390991211,0.5387235879898071,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1015,no_candidate_protocol,20564,20565,1,564,227,1.0,0.40176991150442476,0.5732323232323232,0.0,0.5826596999977482,center0,0.0,0.7537757812975601,CORE|k=12|tau=0.75,12.0,0.75,0.848824143409729,1.9307737350463867,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1016,no_candidate_protocol,4421,4422,1,21,21,1.0,0.9545454545454546,0.9767441860465117,0.0,0.15332549999584444,center0,0.0,0.9956962302535171,CORE|k=12|tau=0.55,12.0,0.55,0.9781407117843628,0.5042171478271484,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1017,no_candidate_protocol,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.17581699999573175,center0,0.0,0.9809532984021957,CORE|k=12|tau=0.55,12.0,0.55,0.9734324812889099,0.6510087251663208,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1018,no_candidate_protocol,20154,20154,0,154,149,1.0,0.9675324675324676,0.9834983498349835,0.0,0.6970004000031622,center0,0.0,0.9182733101662041,CORE|k=24|tau=0.75,24.0,0.75,0.9319539070129395,1.0724087953567505,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1019,no_candidate_protocol,15678,15678,0,78,78,1.0,1.0,1.0,0.0,0.45774290000554174,center0,0.0,0.9884615480294564,CORE|k=32|tau=0.55,32.0,0.55,0.9702678322792053,0.6495548486709595,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1020,no_candidate_protocol,20110,20111,1,110,110,1.0,0.990990990990991,0.9954751131221719,0.0,0.6453476999959094,center0,0.0,0.9826324541857289,CORE|k=12|tau=0.55,12.0,0.55,0.9662865400314331,0.7124928832054138,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1021,no_candidate_protocol,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.1563670000032289,center0,0.0,1.0148500970004963,CORE|k=12|tau=0.55,12.0,0.55,0.986617386341095,0.39555078744888306,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1022,no_candidate_protocol,7637,7638,1,37,37,1.0,0.9736842105263158,0.9866666666666666,0.0,0.21936859999550506,center0,0.0,1.0080038157649025,CORE|k=24|tau=0.55,24.0,0.55,0.9804085493087769,0.453540176153183,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1023,no_candidate_protocol,8040,8040,0,40,40,1.0,1.0,1.0,0.0,0.2245623999988311,center0,0.0,1.0058761328403836,CORE|k=18|tau=0.55,18.0,0.55,0.9805475473403931,0.4955126643180847,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1024,no_candidate_protocol,20130,20133,3,130,126,1.0,0.9473684210526315,0.972972972972973,0.0,0.693791699995927,center0,0.0,0.9303086907802142,CORE|k=18|tau=0.75,18.0,0.75,0.9350822567939758,0.947162926197052,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1025,no_candidate_protocol,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.16394209999998566,center0,0.0,1.0016069085758084,CORE|k=12|tau=0.55,12.0,0.55,0.9817100167274475,0.5039898157119751,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1026,no_candidate_protocol,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.1531768999993801,center0,0.0,1.0014327649957409,CORE|k=18|tau=0.55,18.0,0.55,0.9800281524658203,0.478339821100235,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1027,no_candidate_protocol,20229,20229,0,229,202,1.0,0.8820960698689956,0.9373549883990718,0.0,0.6035923000017647,center0,0.0,0.8889255601721721,CORE|k=48|tau=0.75,48.0,0.75,0.9139006733894348,1.2272419929504395,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1028,no_candidate_protocol,4020,4020,0,20,20,1.0,1.0,1.0,0.0,0.12943100000120467,center0,0.0,1.0134774662269879,CORE|k=12|tau=0.55,12.0,0.55,0.9887593984603882,0.41170862317085266,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1029,no_candidate_protocol,9444,9447,3,44,44,1.0,0.9361702127659575,0.967032967032967,0.0,0.32218039999861503,center0,0.0,0.9983854023716834,CORE|k=12|tau=0.55,12.0,0.55,0.978262722492218,0.5576521158218384,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1030,no_candidate_protocol,4623,4623,0,23,23,1.0,1.0,1.0,0.0,0.15918020000390243,center0,0.0,1.0137470726796534,CORE|k=12|tau=0.55,12.0,0.55,0.9866639971733093,0.4034927487373352,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1031,no_candidate_protocol,9045,9045,0,45,45,1.0,1.0,1.0,0.0,0.2657772999955341,center0,0.0,1.0142107597161205,CORE|k=12|tau=0.55,12.0,0.55,0.9854692816734314,0.4656904935836792,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1032,no_candidate_protocol,3216,3216,0,16,16,1.0,1.0,1.0,0.0,0.10382469999603927,center0,0.0,0.9950120661636548,CORE|k=12|tau=0.55,12.0,0.55,0.9791204929351807,0.4903274178504944,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1033,no_candidate_protocol,6833,6834,1,33,33,1.0,0.9705882352941176,0.9850746268656716,0.0,0.19999480000115,center0,0.0,0.9670955490336526,CORE|k=18|tau=0.55,18.0,0.55,0.9657046794891357,0.7488018274307251,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1034,no_candidate_protocol,9045,9045,0,45,45,1.0,1.0,1.0,0.0,0.2703652999989572,center0,0.0,0.9844475956056388,CORE|k=12|tau=0.55,12.0,0.55,0.973986804485321,0.6774068474769592,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1035,no_candidate_protocol,20112,20112,0,112,112,1.0,1.0,1.0,0.0,0.651551399998425,center0,0.0,0.9973287135280523,CORE|k=24|tau=0.55,24.0,0.55,0.9733818769454956,0.6189724206924438,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1036,no_candidate_protocol,20112,20112,0,112,112,1.0,1.0,1.0,0.0,0.6383115999997244,center0,0.0,0.9645461119629296,CORE|k=18|tau=0.55,18.0,0.55,0.9580807089805603,0.8126696348190308,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
