cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_center_refinement,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.03749529999913648,center0,0.0,1.0072992896566038,CORE|k=24|tau=0.55,24.0,0.55,0.9699174761772156,0.4975014328956604,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_center_refinement,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.04272499999933643,center0,0.0,1.0033414827402847,CORE|k=48|tau=0.45,48.0,0.45,0.9462820887565613,0.467892587184906,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_center_refinement,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.040408500004559755,center0,0.0,1.021152350220353,CORE|k=24|tau=0.45,24.0,0.45,0.9726431369781494,0.4541167616844177,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_center_refinement,20418,20418,0,418,128,1.0,0.3062200956937799,0.4688644688644688,0.0,0.04659340000216616,center0,0.0,0.8026714212431971,CORE|k=48|tau=0.75,48.0,0.75,0.8516982793807983,1.707322597503662,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_center_refinement,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.09213630000158446,center0,0.0,0.9990193752083638,CORE|k=24|tau=0.45,24.0,0.45,0.967919111251831,0.5827270746231079,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_center_refinement,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.04836799999611685,center0,0.0,0.9821339074048647,CORE|k=48|tau=0.45,48.0,0.45,0.9403786659240723,0.6818352937698364,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_center_refinement,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.037098799999512266,center0,0.0,1.0204073553133555,CORE|k=24|tau=0.45,24.0,0.45,0.9812217354774475,0.49110960960388184,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_center_refinement,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.03474800000549294,center0,0.0,1.0046620494125256,CORE|k=24|tau=0.55,24.0,0.55,0.9686403870582581,0.5081341862678528,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_center_refinement,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.03984700000000885,center0,0.0,1.0008036537568388,CORE|k=24|tau=0.55,24.0,0.55,0.963962972164154,0.6048319339752197,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_center_refinement,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.04185199999483302,center0,0.0,1.0019458049727354,CORE|k=32|tau=0.45,32.0,0.45,0.9597420692443848,0.5435600280761719,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1011,no_center_refinement,20235,20235,0,235,172,1.0,0.7319148936170212,0.8452088452088452,0.0,0.05072400000062771,center0,0.0,0.8981170181938724,CORE|k=24|tau=0.75,24.0,0.75,0.8855516314506531,1.1804208755493164,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1012,no_center_refinement,8843,8844,1,43,43,1.0,0.9772727272727273,0.9885057471264368,0.0,0.045618000003742054,center0,0.0,1.0158190187374891,CORE|k=12|tau=0.45,12.0,0.45,0.969211995601654,0.46594491600990295,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1013,no_center_refinement,10049,10050,1,49,48,1.0,0.96,0.9795918367346939,0.0,0.042015300001366995,center0,0.0,0.948514021238049,CORE|k=18|tau=0.65,18.0,0.65,0.9380833506584167,0.9353424310684204,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1014,no_center_refinement,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.03705689999333117,center0,0.0,0.9935356975975634,CORE|k=18|tau=0.55,18.0,0.55,0.9603985548019409,0.5387235879898071,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1015,no_center_refinement,20564,20565,1,564,143,1.0,0.25309734513274335,0.40395480225988695,0.0,0.05487369999900693,center0,0.0,0.8110101706695895,CORE|k=48|tau=0.75,48.0,0.75,0.8533327579498291,1.6872910261154175,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1016,no_center_refinement,4421,4422,1,21,21,1.0,0.9545454545454546,0.9767441860465117,0.0,0.037776899996970315,center0,0.0,1.004362730650977,CORE|k=12|tau=0.55,12.0,0.55,0.9715985059738159,0.5042171478271484,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1017,no_center_refinement,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.03487440000026254,center0,0.0,0.9908418298685794,CORE|k=12|tau=0.55,12.0,0.55,0.9678124785423279,0.6510087251663208,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1018,no_center_refinement,20154,20154,0,154,130,1.0,0.8441558441558441,0.9154929577464789,0.0,0.050984800000151154,center0,0.0,0.9395187034760281,CORE|k=48|tau=0.75,48.0,0.75,0.9124704003334045,0.9571986198425293,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1019,no_center_refinement,15678,15678,0,78,76,1.0,0.9743589743589743,0.9870129870129869,0.0,0.04327390000253217,center0,0.0,0.9811911953115722,CORE|k=24|tau=0.75,24.0,0.75,0.9365509152412415,0.6431547403335571,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1020,no_center_refinement,20110,20111,1,110,109,1.0,0.9819819819819819,0.9909090909090909,0.0,0.0574553000042215,center0,0.0,0.9733498107618749,CORE|k=48|tau=0.75,48.0,0.75,0.9262099862098694,0.7035306692123413,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
