cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_objective_regularization,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.07319039999856614,center0,0.0,0.9699174761772156,CORE|k=24|tau=0.55,24.0,0.55,0.9699174761772156,0.4975014328956604,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_objective_regularization,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.09072469999955501,center0,0.0,0.9462820887565613,CORE|k=48|tau=0.45,48.0,0.45,0.9462820887565613,0.467892587184906,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_objective_regularization,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.07885439999517985,center0,0.0,0.9726431369781494,CORE|k=24|tau=0.45,24.0,0.45,0.9726431369781494,0.4541167616844177,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_objective_regularization,20418,20418,0,418,123,1.0,0.2942583732057416,0.45471349353049906,0.0,0.09046459999808576,center1_refined,1.7326198518276215,0.8524655103683472,CORE|k=32|tau=0.75,32.0,0.75,0.8524655103683472,1.7103195190429688,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_objective_regularization,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.07539579999865964,center0,0.0,0.967919111251831,CORE|k=24|tau=0.45,24.0,0.45,0.967919111251831,0.5827270746231079,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_objective_regularization,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.08685540000442415,center0,0.0,0.9403786659240723,CORE|k=48|tau=0.45,48.0,0.45,0.9403786659240723,0.6818352937698364,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_objective_regularization,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.0752035999976215,center0,0.0,0.9812217354774475,CORE|k=24|tau=0.45,24.0,0.45,0.9812217354774475,0.49110960960388184,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_objective_regularization,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.07218419999844627,center0,0.0,0.9686403870582581,CORE|k=24|tau=0.55,24.0,0.55,0.9686403870582581,0.5081341862678528,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_objective_regularization,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.07934019999811426,center0,0.0,0.963962972164154,CORE|k=24|tau=0.55,24.0,0.55,0.963962972164154,0.6048319339752197,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_objective_regularization,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.08338519999961136,center0,0.0,0.9597420692443848,CORE|k=32|tau=0.45,32.0,0.45,0.9597420692443848,0.5435600280761719,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1011,no_objective_regularization,20235,20235,0,235,172,1.0,0.7319148936170212,0.8452088452088452,0.0,0.09073469999566441,center0,0.0,0.8855516314506531,CORE|k=24|tau=0.75,24.0,0.75,0.8855516314506531,1.1804208755493164,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1012,no_objective_regularization,8843,8844,1,43,43,1.0,0.9772727272727273,0.9885057471264368,0.0,0.07793050000327639,center0,0.0,0.969211995601654,CORE|k=12|tau=0.45,12.0,0.45,0.969211995601654,0.46594491600990295,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1013,no_objective_regularization,10049,10050,1,49,48,1.0,0.96,0.9795918367346939,0.0,0.08133530000486644,center0,0.0,0.9380833506584167,CORE|k=18|tau=0.65,18.0,0.65,0.9380833506584167,0.9353424310684204,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1014,no_objective_regularization,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.0745764999956009,center0,0.0,0.9603985548019409,CORE|k=18|tau=0.55,18.0,0.55,0.9603985548019409,0.5387235879898071,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1015,no_objective_regularization,20564,20565,1,564,143,1.0,0.25309734513274335,0.40395480225988695,0.0,0.09661500000220258,center1_refined,0.5667228810489178,0.8538122773170471,CORE|k=48|tau=0.75,48.0,0.75,0.8538122773170471,1.673363447189331,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1016,no_objective_regularization,4421,4422,1,21,21,1.0,0.9545454545454546,0.9767441860465117,0.0,0.06441609999455977,center0,0.0,0.9715985059738159,CORE|k=12|tau=0.55,12.0,0.55,0.9715985059738159,0.5042171478271484,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1017,no_objective_regularization,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.07063449999986915,center0,0.0,0.9678124785423279,CORE|k=12|tau=0.55,12.0,0.55,0.9678124785423279,0.6510087251663208,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
