cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_quality_cut,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.0793411000049673,center0,0.0,1.0072992896566038,CORE|k=24|tau=0.55,24.0,0.55,0.9699174761772156,0.4975014328956604,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_quality_cut,14271,14271,0,71,71,1.0,1.0,1.0,0.0,0.08853369999997085,center0,0.0,1.0001414686006989,CORE|k=48|tau=0.45,48.0,0.45,0.9428818225860596,0.472584068775177,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_quality_cut,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.08034960000077263,center0,0.0,1.021152350220353,CORE|k=24|tau=0.45,24.0,0.45,0.9726431369781494,0.4541167616844177,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_quality_cut,20418,20418,0,418,123,1.0,0.2942583732057416,0.45471349353049906,0.0,0.09358160000556381,center1_refined,1.7326198518276215,0.80289022665436,CORE|k=32|tau=0.75,32.0,0.75,0.8524655103683472,1.7103195190429688,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_quality_cut,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.07439020000310848,center0,0.0,0.9990193752083638,CORE|k=24|tau=0.45,24.0,0.45,0.967919111251831,0.5827270746231079,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_quality_cut,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.08638839999912307,center0,0.0,0.9821339074048647,CORE|k=48|tau=0.45,48.0,0.45,0.9403786659240723,0.6818352937698364,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_quality_cut,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.07544909999705851,center0,0.0,1.0204073553133555,CORE|k=24|tau=0.45,24.0,0.45,0.9812217354774475,0.49110960960388184,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_quality_cut,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.07213190000038594,center0,0.0,1.0046620494125256,CORE|k=24|tau=0.55,24.0,0.55,0.9686403870582581,0.5081341862678528,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_quality_cut,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.07936029999837046,center0,0.0,1.0008036537568388,CORE|k=24|tau=0.55,24.0,0.55,0.963962972164154,0.6048319339752197,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_quality_cut,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.08341269999800716,center0,0.0,1.0019458049727354,CORE|k=32|tau=0.45,32.0,0.45,0.9597420692443848,0.5435600280761719,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
