cluster,variant,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,chosen_k,chosen_tau,mean_support,median_radius,cache_pipeline_signature
UBC1001,no_support_gate,5829,5829,0,29,104,0.0,0.0,0.0,1.0,0.08033399999840185,center1_refined,20.0,0.8613665572206599,CORE|k=48|topfrac=0.10,48.0,0.1,0.8907185196876526,1.4169305562973022,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1002,no_support_gate,14269,14271,2,69,118,0.0,0.0,0.0,1.0,0.09047959999588784,center1_refined,20.0,0.7903633843624337,CORE|k=48|topfrac=0.10,48.0,0.1,0.7998045682907104,1.1770915985107422,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1003,no_support_gate,8844,8844,0,44,120,0.0,0.0,0.0,1.0,0.0874656000014511,center1_refined,20.0,0.7644946161842856,CORE|k=48|topfrac=0.10,48.0,0.1,0.8289534449577332,1.7508395910263062,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1004,no_support_gate,20418,20418,0,418,120,1.0,0.28708133971291866,0.44609665427509293,0.0,0.09823920000053477,center0,0.0,0.8099443050124258,CORE|k=48|topfrac=0.10,48.0,0.1,0.8578771948814392,1.6875760555267334,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1005,no_support_gate,6231,6231,0,31,111,0.27927927927927926,1.0,0.43661971830985913,0.7207207207207207,0.09183340000163298,center1_refined,20.0,0.6152439496722744,CORE|k=24|topfrac=0.10,24.0,0.1,0.7320104241371155,2.2361862659454346,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1006,no_support_gate,15477,15477,0,77,118,0.0,0.0,0.0,1.0,0.09590839999873424,center1_refined,20.0,0.8030902679526551,CORE|k=48|topfrac=0.10,48.0,0.1,0.822369396686554,1.318647861480713,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1007,no_support_gate,6432,6432,0,32,115,0.0,0.0,0.0,1.0,0.08312440000008792,center1_refined,20.0,0.8587415230429173,CORE|k=32|topfrac=0.10,32.0,0.1,0.8828284740447998,1.3068124055862427,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1008,no_support_gate,5829,5829,0,29,104,0.0,0.0,0.0,1.0,0.0782041000056779,center1_refined,20.0,0.8151502609299887,CORE|k=48|topfrac=0.10,48.0,0.1,0.8686383962631226,1.5541647672653198,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1009,no_support_gate,9246,9246,0,46,120,0.0,0.0,0.0,1.0,0.08635109999886481,center1_refined,20.0,0.8781685530178922,CORE|k=48|topfrac=0.10,48.0,0.1,0.9031273722648621,1.2098311185836792,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1010,no_support_gate,9246,9246,0,46,118,0.0,0.0,0.0,1.0,0.09629400000267196,center1_refined,20.0,0.806922256697337,CORE|k=48|topfrac=0.10,48.0,0.1,0.8537717461585999,1.5392470359802246,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1011,no_support_gate,20235,20235,0,235,120,1.0,0.5106382978723404,0.676056338028169,0.0,0.10274959999514977,center0,0.0,0.9521446691729243,CORE|k=48|topfrac=0.10,48.0,0.1,0.9231793880462646,0.9199857711791992,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1012,no_support_gate,8843,8844,1,43,118,0.0,0.0,0.0,1.0,0.09273479999683332,center1_refined,20.0,0.7721959495146578,CORE|k=48|topfrac=0.10,48.0,0.1,0.845197319984436,1.6928666830062866,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1013,no_support_gate,10049,10050,1,49,119,0.0,0.0,0.0,1.0,0.0843659000020125,center1_refined,20.0,0.8562976434168129,CORE|k=48|topfrac=0.10,48.0,0.1,0.8856699466705322,1.4054830074310303,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1014,no_support_gate,5628,5628,0,28,101,0.0,0.0,0.0,1.0,0.07975119999900926,center1_refined,20.0,0.8067754018617119,CORE|k=48|topfrac=0.10,48.0,0.1,0.8549010157585144,1.5669714212417603,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1015,no_support_gate,20564,20565,1,564,120,1.0,0.21238938053097345,0.35036496350364965,0.0,0.10042019999673357,center1_refined,0.5667228810489178,0.8352554291762526,CORE|k=48|topfrac=0.10,48.0,0.1,0.8711055517196655,1.5853636264801025,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1016,no_support_gate,4421,4422,1,21,79,0.26582278481012656,0.9545454545454546,0.41584158415841577,0.7341772151898734,0.07225959999777842,center1_refined,20.0,0.4238810867088335,CORE|k=18|topfrac=0.10,18.0,0.1,0.6141483783721924,2.7505624294281006,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1017,no_support_gate,5226,5226,0,26,93,0.0,0.0,0.0,1.0,0.07872889999998733,center1_refined,20.0,0.7849214161654456,CORE|k=48|topfrac=0.10,48.0,0.1,0.843833863735199,1.6776913404464722,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1018,no_support_gate,20154,20154,0,154,120,1.0,0.7792207792207793,0.8759124087591241,0.0,0.09609710000222549,center0,0.0,0.9546179407275234,CORE|k=48|topfrac=0.10,48.0,0.1,0.9235125184059143,0.8943450450897217,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1019,no_support_gate,15678,15678,0,78,119,0.3025210084033613,0.46153846153846156,0.3654822335025381,0.6974789915966386,0.09555440000258386,center1_refined,20.0,0.7475344384020699,CORE|k=48|topfrac=0.10,48.0,0.1,0.7845250964164734,1.432450532913208,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1020,no_support_gate,20110,20111,1,110,120,0.9166666666666666,0.990990990990991,0.9523809523809523,0.08333333333333337,0.09726329999830341,center0,0.0,0.9135164657418956,CORE|k=48|topfrac=0.10,48.0,0.1,0.8800747990608215,0.7605141401290894,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
UBC1021,no_support_gate,4824,4824,0,24,86,0.0,0.0,0.0,1.0,0.07478049999917857,center1_refined,20.0,0.6014230890395236,CORE|k=48|topfrac=0.10,48.0,0.1,0.7232384085655212,2.193814754486084,MCTNC_ABLATION_RELEASE_v1_2_COREBENCHMARK_CANONICAL
