cluster,fixed_single_k_precision,fixed_single_k_recall,fixed_single_k_f1,fixed_single_k_contam,fixed_single_k_runtime_s,full_core_precision,full_core_recall,full_core_f1,full_core_contam,full_core_runtime_s,no_anchor_prior_precision,no_anchor_prior_recall,no_anchor_prior_f1,no_anchor_prior_contam,no_anchor_prior_runtime_s,no_candidate_protocol_precision,no_candidate_protocol_recall,no_candidate_protocol_f1,no_candidate_protocol_contam,no_candidate_protocol_runtime_s,no_center_refinement_precision,no_center_refinement_recall,no_center_refinement_f1,no_center_refinement_contam,no_center_refinement_runtime_s,no_objective_regularization_precision,no_objective_regularization_recall,no_objective_regularization_f1,no_objective_regularization_contam,no_objective_regularization_runtime_s,no_quality_cut_precision,no_quality_cut_recall,no_quality_cut_f1,no_quality_cut_contam,no_quality_cut_runtime_s,no_support_gate_precision,no_support_gate_recall,no_support_gate_f1,no_support_gate_contam,no_support_gate_runtime_s,tier
UBC1001,1.0,1.0,1.0,0.0,0.0257395000007818,1.0,1.0,1.0,0.0,0.1495934999547898,1.0,1.0,1.0,0.0,0.0758299000008264,1.0,1.0,1.0,0.0,0.1826383000006899,1.0,1.0,1.0,0.0,0.0374952999991364,1.0,1.0,1.0,0.0,0.0731903999985661,1.0,1.0,1.0,0.0,0.0793411000049673,0.0,0.0,0.0,1.0,0.0803339999984018,0
UBC1002,1.0,0.971830985915493,0.9857142857142858,0.0,0.0369159000038052,1.0,0.9855072463768116,0.9927007299270074,0.0,0.1411177000263705,1.0,0.971830985915493,0.9857142857142858,0.0,0.0826815999971586,1.0,0.971830985915493,0.9857142857142858,0.0,0.4147343999939039,1.0,0.971830985915493,0.9857142857142858,0.0,0.0427249999993364,1.0,0.971830985915493,0.9857142857142858,0.0,0.090724699999555,1.0,1.0,1.0,0.0,0.0885336999999708,0.0,0.0,0.0,1.0,0.0904795999958878,1
UBC1003,1.0,1.0,1.0,0.0,0.0312230999988969,1.0,1.0,1.0,0.0,0.1332718000048771,1.0,1.0,1.0,0.0,0.0800754000010783,1.0,1.0,1.0,0.0,0.2965697999970871,1.0,1.0,1.0,0.0,0.0404085000045597,1.0,1.0,1.0,0.0,0.0788543999951798,1.0,1.0,1.0,0.0,0.0803496000007726,0.0,0.0,0.0,1.0,0.0874656000014511,0
UBC1004,1.0,0.3086124401913875,0.4716636197440585,0.0,0.0451656000004732,1.0,0.8923444976076556,0.943109987357775,0.0,0.2236466000322252,1.0,0.2942583732057416,0.454713493530499,0.0,0.0946242000063648,1.0,0.4880382775119617,0.6559485530546624,0.0,0.6946901999981492,1.0,0.3062200956937799,0.4688644688644688,0.0,0.0465934000021661,1.0,0.2942583732057416,0.454713493530499,0.0,0.0904645999980857,1.0,0.2942583732057416,0.454713493530499,0.0,0.0935816000055638,1.0,0.2870813397129186,0.4460966542750929,0.0,0.0982392000005347,2
UBC1005,1.0,1.0,1.0,0.0,0.0302253999980166,1.0,1.0,1.0,0.0,0.130677199922502,1.0,1.0,1.0,0.0,0.0762880999973276,1.0,1.0,1.0,0.0,0.1906658000007155,1.0,1.0,1.0,0.0,0.0921363000015844,1.0,1.0,1.0,0.0,0.0753957999986596,1.0,1.0,1.0,0.0,0.0743902000031084,0.2792792792792792,1.0,0.4366197183098591,0.7207207207207207,0.0918334000016329,0
UBC1006,1.0,1.0,1.0,0.0,0.0383695000055013,1.0,1.0,1.0,0.0,0.1524753000121563,1.0,1.0,1.0,0.0,0.0853310999955283,1.0,1.0,1.0,0.0,0.4389099999971222,1.0,1.0,1.0,0.0,0.0483679999961168,1.0,1.0,1.0,0.0,0.0868554000044241,1.0,1.0,1.0,0.0,0.086388399999123,0.0,0.0,0.0,1.0,0.0959083999987342,0
UBC1007,1.0,1.0,1.0,0.0,0.0274611999993794,1.0,1.0,1.0,0.0,0.1320351000176742,1.0,1.0,1.0,0.0,0.1212892999974428,1.0,1.0,1.0,0.0,0.1912405000039143,1.0,1.0,1.0,0.0,0.0370987999995122,1.0,1.0,1.0,0.0,0.0752035999976215,1.0,1.0,1.0,0.0,0.0754490999970585,0.0,0.0,0.0,1.0,0.0831244000000879,0
UBC1008,1.0,1.0,1.0,0.0,0.0268503999977838,1.0,0.9655172413793104,0.9824561403508772,0.0,0.1419637999497354,1.0,1.0,1.0,0.0,0.0738715000043157,1.0,1.0,1.0,0.0,0.1841937999997753,1.0,1.0,1.0,0.0,0.0347480000054929,1.0,1.0,1.0,0.0,0.0721841999984462,1.0,1.0,1.0,0.0,0.0721319000003859,0.0,0.0,0.0,1.0,0.0782041000056779,1
UBC1009,1.0,1.0,1.0,0.0,0.0337015000040992,1.0,1.0,1.0,0.0,0.1359242000617087,1.0,1.0,1.0,0.0,0.0804944999981671,1.0,1.0,1.0,0.0,0.3002009999981965,1.0,1.0,1.0,0.0,0.0398470000000088,1.0,1.0,1.0,0.0,0.0793401999981142,1.0,1.0,1.0,0.0,0.0793602999983704,0.0,0.0,0.0,1.0,0.0863510999988648,0
UBC1010,1.0,1.0,1.0,0.0,0.0321263000005274,1.0,0.9782608695652174,0.989010989010989,0.0,0.1336340999696403,1.0,1.0,1.0,0.0,0.0856306999994558,1.0,1.0,1.0,0.0,0.2898021999935736,1.0,1.0,1.0,0.0,0.041851999994833,1.0,1.0,1.0,0.0,0.0833851999996113,1.0,1.0,1.0,0.0,0.0834126999980071,0.0,0.0,0.0,1.0,0.0962940000026719,1
