cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1001,gmm_bic,5829,5829,0,29,29,1.0,1.0,1.0,0.0,1.6530636999523267,center0,0.0,4409.877891731272,GMM|k=4|cv=ful,50.0,29.0
UBC1002,gmm_bic,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.7315559000708163,center0,0.0,-4628.272418785085,GMM|k=4|cv=ful,102.0,69.0
UBC1003,gmm_bic,8844,8844,0,44,44,1.0,1.0,1.0,0.0,1.019552299985662,center0,0.0,2881.9986481356464,GMM|k=5|cv=ful,64.0,44.0
UBC1004,gmm_bic,20418,20418,0,418,418,1.0,1.0,1.0,0.0,0.4488255999749526,center0,0.0,9493.815817531651,GMM|k=5|cv=dia,627.0,418.0
UBC1005,gmm_bic,6231,6231,0,31,31,1.0,1.0,1.0,0.0,1.0875574999954551,center0,0.0,7465.996970622524,GMM|k=5|cv=ful,50.0,31.0
UBC1006,gmm_bic,15477,15477,0,77,77,1.0,1.0,1.0,0.0,1.0027646999806166,center0,0.0,-3454.9239919662373,GMM|k=4|cv=ful,114.0,77.0
UBC1007,gmm_bic,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.7373633000534028,center0,0.0,-2252.0849805188336,GMM|k=5|cv=ful,50.0,32.0
UBC1008,gmm_bic,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.9179759999969974,center0,0.0,10815.616150830749,GMM|k=5|cv=dia,50.0,29.0
UBC1009,gmm_bic,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.7916110999649391,center0,0.0,4146.407743428708,GMM|k=5|cv=dia,69.0,46.0
UBC1010,gmm_bic,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.6621092000277713,center0,0.0,1689.5325530457335,GMM|k=5|cv=ful,67.0,46.0
UBC1011,gmm_bic,20235,20235,0,235,235,1.0,1.0,1.0,0.0,0.4998746999772265,center0,0.0,3707.094128322612,GMM|k=4|cv=ful,351.0,235.0
UBC1012,gmm_bic,8843,8844,1,43,43,1.0,0.9772727272727272,0.9885057471264368,0.0,0.8857679000357166,center0,0.0,5906.39316031216,GMM|k=5|cv=ful,63.0,43.0
UBC1013,gmm_bic,10049,10050,1,49,49,1.0,0.98,0.98989898989899,0.0,0.6325073000043631,center0,0.0,-13.938312339772551,GMM|k=4|cv=ful,73.0,49.0
UBC1014,gmm_bic,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.7572909999871626,center0,0.0,2938.759823773862,GMM|k=5|cv=dia,50.0,28.0
UBC1015,gmm_bic,20564,20565,1,564,564,1.0,0.9982300884955752,0.9991142604074402,0.0,0.7258968000533059,center0,0.0,13353.271863706235,GMM|k=4|cv=ful,846.0,564.0
UBC1016,gmm_bic,4421,4422,1,21,21,1.0,0.9545454545454546,0.9767441860465116,0.0,0.5042169999796897,center0,0.0,534.5035206663449,GMM|k=5|cv=ful,50.0,21.0
UBC1017,gmm_bic,5226,5226,0,26,27,0.9629629629629628,1.0,0.981132075471698,0.037037037037037,0.8799198999768123,center0,0.0,10384.282102076992,GMM|k=5|cv=ful,50.0,27.0
UBC1018,gmm_bic,20154,20154,0,154,154,1.0,1.0,1.0,0.0,0.6807498000562191,center0,0.0,55.86885401485756,GMM|k=5|cv=ful,231.0,154.0
UBC1019,gmm_bic,15678,15678,0,78,78,1.0,1.0,1.0,0.0,0.5641790999798104,center0,0.0,2113.1294269251666,GMM|k=5|cv=ful,115.0,78.0
UBC1020,gmm_bic,20110,20111,1,110,110,1.0,0.990990990990991,0.995475113122172,0.0,0.5195944000734016,center0,0.0,-2881.17266705753,GMM|k=5|cv=ful,165.0,110.0
UBC1021,gmm_bic,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.8217117000604048,center0,0.0,4279.405971501828,GMM|k=5|cv=dia,50.0,24.0
UBC1022,gmm_bic,7637,7638,1,37,37,1.0,0.9736842105263158,0.9866666666666666,0.0,0.6960725999670103,center0,0.0,-2460.937271626012,GMM|k=5|cv=ful,55.0,37.0
