cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2,cache_pipeline_signature
UBC1001,hdbscan,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.04523969999718247,center0,0.0,-1.278774014643559,HDBSCAN_SHARED_PREPROC_NOLEAK,50.0,29.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1002,hdbscan,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.03871140000410378,center0,0.0,-1.4514936365385454,HDBSCAN_SHARED_PREPROC_NOLEAK,103.0,69.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1003,hdbscan,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.040725899998506065,center0,0.0,-1.3113789769568025,HDBSCAN_SHARED_PREPROC_NOLEAK,66.0,44.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1004,hdbscan,20418,20418,0,418,416,1.0,0.9952153110047847,0.9976019184652278,0.0,0.05691179999848828,center0,0.0,-1.4220212403833967,HDBSCAN_SHARED_PREPROC_NOLEAK,447.0,416.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1005,hdbscan,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.029182500002207235,center0,0.0,-1.2665409829089203,HDBSCAN_SHARED_PREPROC_NOLEAK,50.0,31.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1006,hdbscan,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.04200209999544313,center0,0.0,-1.436498112832334,HDBSCAN_SHARED_PREPROC_NOLEAK,115.0,77.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1007,hdbscan,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.02978600000642473,center0,0.0,-1.3021525054587855,HDBSCAN_SHARED_PREPROC_NOLEAK,50.0,32.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1008,hdbscan,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.02969009999651462,center0,0.0,-1.2596656005287372,HDBSCAN_SHARED_PREPROC_NOLEAK,50.0,29.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1009,hdbscan,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.03583929999877,center0,0.0,-1.3568171873759929,HDBSCAN_SHARED_PREPROC_NOLEAK,69.0,46.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1010,hdbscan,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.03509219999978086,center0,0.0,-1.326280211434657,HDBSCAN_SHARED_PREPROC_NOLEAK,69.0,46.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1011,hdbscan,20235,20235,0,235,235,1.0,1.0,1.0,0.0,0.0476933999962057,center0,0.0,-1.6538702674300365,HDBSCAN_SHARED_PREPROC_NOLEAK,352.0,235.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1012,hdbscan,8843,8844,1,43,43,1.0,0.9772727272727273,0.9885057471264368,0.0,0.033980100000917446,center0,0.0,-1.2823983348434735,HDBSCAN_SHARED_PREPROC_NOLEAK,64.0,43.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1013,hdbscan,10049,10050,1,49,49,1.0,0.98,0.98989898989899,0.0,0.035620800001197495,center0,0.0,-1.3717541958870765,HDBSCAN_SHARED_PREPROC_NOLEAK,73.0,49.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1014,hdbscan,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.031188000000838656,center0,0.0,-1.2411933575661946,HDBSCAN_SHARED_PREPROC_NOLEAK,50.0,28.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
UBC1015,hdbscan,20564,20565,1,564,246,1.0,0.4353982300884956,0.6066584463625154,0.0,0.04503290000138804,center0,0.0,-1.4929099724388504,HDBSCAN_SHARED_PREPROC_NOLEAK,369.0,246.0,PART5_SHARED_HDBSCAN_RELEASE_v1_6_COREMODE_CORECSVFIX
