cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1001,heuristic_cut,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.0325614999746903,center0,0.0,0.6922052819970896,HC_SINGLE_SIGMA_2.50,475.0,
UBC1002,heuristic_cut,14269,14271,2,69,69,1.0,0.971830985915493,0.9857142857142858,0.0,0.0196957999141886,center0,0.0,0.8636511369521545,HC_SINGLE_SIGMA_2.50,490.0,
UBC1003,heuristic_cut,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.0165337000507861,center0,0.0,0.7730021123063499,HC_SINGLE_SIGMA_2.50,488.0,
UBC1004,heuristic_cut,20418,20418,0,418,406,1.0,0.971291866028708,0.9854368932038834,0.0,0.025445899926126,center0,0.0,1.8574019875027952,HC_SINGLE_SIGMA_2.50,447.0,
UBC1005,heuristic_cut,6231,6231,0,31,31,1.0,1.0,1.0,0.0,0.0207036000210791,center0,0.0,0.7070677373138192,HC_SINGLE_SIGMA_2.50,488.0,
UBC1006,heuristic_cut,15477,15477,0,77,77,1.0,1.0,1.0,0.0,0.0192594999680295,center0,0.0,0.8918359842536193,HC_SINGLE_SIGMA_2.50,487.0,
UBC1007,heuristic_cut,6432,6432,0,32,32,1.0,1.0,1.0,0.0,0.0119210999691858,center0,0.0,0.708566922075825,HC_SINGLE_SIGMA_2.50,489.0,
UBC1008,heuristic_cut,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.0097644000779837,center0,0.0,0.6965411455128243,HC_SINGLE_SIGMA_2.50,480.0,
UBC1009,heuristic_cut,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.0122786000138148,center0,0.0,0.7874308635535434,HC_SINGLE_SIGMA_2.50,484.0,
UBC1010,heuristic_cut,9246,9246,0,46,46,1.0,1.0,1.0,0.0,0.0148221999406814,center0,0.0,0.7826120673733548,HC_SINGLE_SIGMA_2.50,483.0,
UBC1011,heuristic_cut,20235,20235,0,235,235,1.0,1.0,1.0,0.0,0.0236641999799758,center0,0.0,1.2848129586051054,HC_SINGLE_SIGMA_2.50,486.0,
UBC1012,heuristic_cut,8843,8844,1,43,43,1.0,0.9772727272727272,0.9885057471264368,0.0,0.0119529999792575,center0,0.0,0.7727868426377487,HC_SINGLE_SIGMA_2.50,483.0,
UBC1013,heuristic_cut,10049,10050,1,49,49,1.0,0.98,0.98989898989899,0.0,0.0125968999927863,center0,0.0,0.8107625967596434,HC_SINGLE_SIGMA_2.50,482.0,
UBC1014,heuristic_cut,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.0098370999330654,center0,0.0,0.6898212053696198,HC_SINGLE_SIGMA_2.50,488.0,
UBC1015,heuristic_cut,20564,20565,1,564,422,1.0,0.7469026548672566,0.8551165146909827,0.0,0.0225884000537917,center0,0.0,1.7575848016768705,HC_SINGLE_SIGMA_2.50,457.0,
UBC1016,heuristic_cut,4421,4422,1,21,21,1.0,0.9545454545454546,0.9767441860465116,0.0,0.0115364000666886,center0,0.0,0.6284460484851885,HC_SINGLE_SIGMA_2.50,490.0,
UBC1017,heuristic_cut,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.0075111999176442,center0,0.0,0.6790818885173522,HC_SINGLE_SIGMA_2.50,486.0,
UBC1018,heuristic_cut,20154,20154,0,154,154,1.0,1.0,1.0,0.0,0.0209227000596001,center0,0.0,1.1052054249212675,HC_SINGLE_SIGMA_2.50,483.0,
