cluster,gmm_bic_precision,gmm_bic_recall,gmm_bic_f1,gmm_bic_contam,gmm_bic_runtime_s,hdbscan_precision,hdbscan_recall,hdbscan_f1,hdbscan_contam,hdbscan_runtime_s,heuristic_cut_precision,heuristic_cut_recall,heuristic_cut_f1,heuristic_cut_contam,heuristic_cut_runtime_s,mctnc_precision,mctnc_recall,mctnc_f1,mctnc_contam,mctnc_runtime_s,tier
UBC1001,1.0,1.0,1.0,0.0,1.6530636999523267,1.0,1.0,1.0,0.0,0.0452396999971824,1.0,1.0,1.0,0.0,0.0325614999746903,1.0,1.0,1.0,0.0,0.1495934999547898,0
UBC1002,1.0,0.971830985915493,0.9857142857142858,0.0,0.7315559000708163,1.0,0.971830985915493,0.9857142857142858,0.0,0.0387114000041037,1.0,0.971830985915493,0.9857142857142858,0.0,0.0196957999141886,1.0,0.9855072463768116,0.9927007299270074,0.0,0.1411177000263705,1
UBC1003,1.0,1.0,1.0,0.0,1.019552299985662,1.0,1.0,1.0,0.0,0.040725899998506,1.0,1.0,1.0,0.0,0.0165337000507861,1.0,1.0,1.0,0.0,0.1332718000048771,0
UBC1004,1.0,1.0,1.0,0.0,0.4488255999749526,1.0,0.9952153110047848,0.9976019184652278,0.0,0.0569117999984882,1.0,0.971291866028708,0.9854368932038834,0.0,0.025445899926126,1.0,0.8923444976076556,0.943109987357775,0.0,0.2236466000322252,2
UBC1005,1.0,1.0,1.0,0.0,1.0875574999954551,1.0,1.0,1.0,0.0,0.0291825000022072,1.0,1.0,1.0,0.0,0.0207036000210791,1.0,1.0,1.0,0.0,0.130677199922502,0
UBC1006,1.0,1.0,1.0,0.0,1.0027646999806166,1.0,1.0,1.0,0.0,0.0420020999954431,1.0,1.0,1.0,0.0,0.0192594999680295,1.0,1.0,1.0,0.0,0.1524753000121563,0
UBC1007,1.0,1.0,1.0,0.0,0.7373633000534028,1.0,1.0,1.0,0.0,0.0297860000064247,1.0,1.0,1.0,0.0,0.0119210999691858,1.0,1.0,1.0,0.0,0.1320351000176742,0
UBC1008,1.0,1.0,1.0,0.0,0.9179759999969974,1.0,1.0,1.0,0.0,0.0296900999965146,1.0,1.0,1.0,0.0,0.0097644000779837,1.0,0.9655172413793104,0.9824561403508772,0.0,0.1419637999497354,1
UBC1009,1.0,1.0,1.0,0.0,0.7916110999649391,1.0,1.0,1.0,0.0,0.03583929999877,1.0,1.0,1.0,0.0,0.0122786000138148,1.0,1.0,1.0,0.0,0.1359242000617087,0
UBC1010,1.0,1.0,1.0,0.0,0.6621092000277713,1.0,1.0,1.0,0.0,0.0350921999997808,1.0,1.0,1.0,0.0,0.0148221999406814,1.0,0.9782608695652174,0.989010989010989,0.0,0.1336340999696403,1
UBC1011,1.0,1.0,1.0,0.0,0.4998746999772265,1.0,1.0,1.0,0.0,0.0476933999962057,1.0,1.0,1.0,0.0,0.0236641999799758,1.0,0.9361702127659576,0.967032967032967,0.0,0.1358102000085637,2
UBC1012,1.0,0.9772727272727272,0.9885057471264368,0.0,0.8857679000357166,1.0,0.9772727272727272,0.9885057471264368,0.0,0.0339801000009174,1.0,0.9772727272727272,0.9885057471264368,0.0,0.0119529999792575,1.0,0.9767441860465116,0.988235294117647,0.0,0.1272821999154985,1
UBC1013,1.0,0.98,0.98989898989899,0.0,0.6325073000043631,1.0,0.98,0.98989898989899,0.0,0.0356208000011974,1.0,0.98,0.98989898989899,0.0,0.0125968999927863,1.0,1.0,1.0,0.0,0.13561750005465,0
UBC1014,1.0,1.0,1.0,0.0,0.7572909999871626,1.0,1.0,1.0,0.0,0.0311880000008386,1.0,1.0,1.0,0.0,0.0098370999330654,1.0,1.0,1.0,0.0,0.1243243999779224,0
UBC1015,1.0,0.9982300884955752,0.9991142604074402,0.0,0.7258968000533059,1.0,0.4353982300884956,0.6066584463625154,0.0,0.045032900001388,1.0,0.7469026548672566,0.8551165146909827,0.0,0.0225884000537917,1.0,0.6382978723404256,0.7792207792207793,0.0,0.2382948999293148,2
UBC1016,1.0,0.9545454545454546,0.9767441860465116,0.0,0.5042169999796897,1.0,0.9545454545454546,0.9767441860465116,0.0,0.0290454999994835,1.0,0.9545454545454546,0.9767441860465116,0.0,0.0115364000666886,1.0,1.0,1.0,0.0,0.136140999966301,0
UBC1017,0.9629629629629628,1.0,0.981132075471698,0.037037037037037,0.8799198999768123,1.0,1.0,1.0,0.0,0.0521934999997029,1.0,1.0,1.0,0.0,0.0075111999176442,1.0,1.0,1.0,0.0,0.1298176000127568,0
UBC1018,1.0,1.0,1.0,0.0,0.6807498000562191,1.0,1.0,1.0,0.0,0.0495993000004091,1.0,1.0,1.0,0.0,0.0209227000596001,1.0,0.961038961038961,0.9801324503311256,0.0,0.1513668999541551,1
UBC1019,1.0,1.0,1.0,0.0,0.5641790999798104,1.0,1.0,1.0,0.0,0.0419555999978911,1.0,1.0,1.0,0.0,0.0214163999771699,1.0,0.9615384615384616,0.9803921568627452,0.0,0.136317600030452,1
UBC1020,1.0,0.990990990990991,0.995475113122172,0.0,0.5195944000734016,1.0,0.990990990990991,0.995475113122172,0.0,0.0490044999969541,1.0,0.990990990990991,0.995475113122172,0.0,0.0327281999634578,1.0,0.990909090909091,0.995433789954338,0.0,0.1531827000435441,1
UBC1021,1.0,1.0,1.0,0.0,0.8217117000604048,1.0,1.0,1.0,0.0,0.0298421999978018,1.0,1.0,1.0,0.0,0.0100090000778436,1.0,1.0,1.0,0.0,0.1443993001012131,0
UBC1022,1.0,0.9736842105263158,0.9866666666666666,0.0,0.6960725999670103,1.0,0.9736842105263158,0.9866666666666666,0.0,0.0360643999956664,1.0,0.9736842105263158,0.9866666666666666,0.0,0.0130364999640733,1.0,0.6756756756756757,0.8064516129032258,0.0,0.1416118999477476,2
UBC1023,1.0,1.0,1.0,0.0,0.845088200061582,1.0,1.0,1.0,0.0,0.0331383000011555,1.0,1.0,1.0,0.0,0.0134315999457612,1.0,1.0,1.0,0.0,0.1367856999859213,0
UBC1024,1.0,0.9774436090225564,0.988593155893536,0.0,0.7421341999433935,1.0,0.9774436090225564,0.988593155893536,0.0,0.0475230000010924,1.0,0.9774436090225564,0.988593155893536,0.0,0.0224786000326275,1.0,0.9076923076923076,0.9516129032258064,0.0,0.1399194999830797,2
UBC1025,1.0,1.0,1.0,0.0,0.8651054999791086,1.0,1.0,1.0,0.0,0.0280472000013105,1.0,1.0,1.0,0.0,0.0087600999977439,1.0,0.9230769230769232,0.96,0.0,0.129201199975796,2
UBC1026,1.0,1.0,1.0,0.0,0.8876231000758708,1.0,1.0,1.0,0.0,0.0278709000049275,1.0,1.0,1.0,0.0,0.0083653000183403,1.0,1.0,1.0,0.0,0.1303957999916747,0
UBC1027,1.0,1.0,1.0,0.0,0.4937563000712544,1.0,1.0,1.0,0.0,0.0498358000040752,1.0,1.0,1.0,0.0,0.0259170000208541,1.0,0.9126637554585152,0.954337899543379,0.0,0.1565838999813422,2
