cluster,tier,mctnc_f1,best_baseline,best_baseline_f1,delta_mctnc_minus_best,gmm_bic_f1,heuristic_cut_f1,hdbscan_f1
UBC1068,4,0.918032786885246,heuristic_cut,0.2489626556016597,0.6690701312835863,0.0,0.2489626556016597,0.1812688821752265
UBC1267,3,0.8433734939759037,hdbscan,0.1813953488372092,0.6619781451386945,0.0,0.178743961352657,0.1813953488372092
UBC1202,4,0.9702970297029702,heuristic_cut,0.4279475982532751,0.542349431449695,0.0,0.4279475982532751,0.2434367541766109
UBC1304,4,0.9176470588235294,hdbscan,0.6829268292682926,0.23472022955523675,0.0,0.4307692307692307,0.6829268292682926
UBC1107,1,0.9836065573770492,heuristic_cut,0.8493150684931507,0.1342914888838984,0.6458333333333334,0.8493150684931507,0.0
UBC1258,0,1.0,hdbscan,0.9056603773584906,0.09433962264150941,0.0,0.7384615384615384,0.9056603773584906
UBC1273,0,1.0,hdbscan,0.923076923076923,0.07692307692307698,0.0,0.8571428571428571,0.923076923076923
UBC1277,0,1.0,hdbscan,0.9333333333333332,0.06666666666666676,0.0,0.8936170212765957,0.9333333333333332
UBC1150,0,1.0,hdbscan,0.9411764705882352,0.05882352941176483,0.1533101045296167,0.8727272727272727,0.9411764705882352
UBC1245,0,1.0,hdbscan,0.9473684210526316,0.05263157894736836,0.0,0.75,0.9473684210526316
UBC1284,0,1.0,hdbscan,0.95,0.050000000000000044,0.0,0.1704035874439461,0.95
UBC1289,0,1.0,hdbscan,0.9583333333333334,0.04166666666666663,0.0,0.8070175438596492,0.9583333333333334
UBC1234,0,1.0,hdbscan,0.96,0.040000000000000036,0.6906474820143884,0.8347826086956521,0.96
UBC1210,1,0.9787234042553192,hdbscan,0.9411764705882352,0.03754693366708406,0.0,0.2926829268292683,0.9411764705882352
UBC1270,0,1.0,gmm_bic,0.962962962962963,0.03703703703703698,0.962962962962963,0.0389972144846796,0.3406113537117904
UBC1327,0,1.0,gmm_bic,0.9666666666666666,0.03333333333333344,0.9666666666666666,0.9666666666666666,0.9666666666666666
UBC1155,0,1.0,gmm_bic,0.967741935483871,0.032258064516129004,0.967741935483871,0.967741935483871,0.0
UBC1177,0,1.0,gmm_bic,0.9714285714285714,0.02857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714
UBC1179,0,1.0,gmm_bic,0.9714285714285714,0.02857142857142858,0.9714285714285714,0.9714285714285714,0.0
UBC1187,0,1.0,heuristic_cut,0.9714285714285714,0.02857142857142858,0.0,0.9714285714285714,0.9714285714285714
UBC1071,0,1.0,gmm_bic,0.9714285714285714,0.02857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714
UBC1295,0,1.0,heuristic_cut,0.972972972972973,0.027027027027026973,0.0,0.972972972972973,0.9473684210526316
UBC1302,0,1.0,heuristic_cut,0.972972972972973,0.027027027027026973,0.0,0.972972972972973,0.972972972972973
UBC1251,0,1.0,heuristic_cut,0.972972972972973,0.027027027027026973,0.9473684210526316,0.972972972972973,0.972972972972973
UBC1176,0,1.0,gmm_bic,0.972972972972973,0.027027027027026973,0.972972972972973,0.972972972972973,0.972972972972973
UBC1310,0,1.0,heuristic_cut,0.972972972972973,0.027027027027026973,0.8780487804878049,0.972972972972973,0.972972972972973
UBC1132,0,1.0,gmm_bic,0.9743589743589745,0.02564102564102555,0.9743589743589745,0.9743589743589745,0.9743589743589745
UBC1138,0,1.0,gmm_bic,0.9743589743589745,0.02564102564102555,0.9743589743589745,0.9743589743589745,0.9743589743589745
UBC1090,0,1.0,heuristic_cut,0.9743589743589745,0.02564102564102555,0.8837209302325583,0.9743589743589745,0.9743589743589745
UBC1235,0,1.0,heuristic_cut,0.975609756097561,0.024390243902439046,0.0,0.975609756097561,0.9523809523809524
UBC1256,4,0.9572649572649572,hdbscan,0.9333333333333332,0.023931623931623958,0.0,0.6511627906976745,0.9333333333333332
UBC1246,4,0.9264705882352942,hdbscan,0.902777777777778,0.023692810457516145,0.0,0.2888402625820568,0.902777777777778
UBC1016,0,1.0,gmm_bic,0.9767441860465116,0.023255813953488413,0.9767441860465116,0.9767441860465116,0.9767441860465116
UBC1128,0,1.0,heuristic_cut,0.9767441860465116,0.023255813953488413,0.9130434782608696,0.9767441860465116,0.9767441860465116
UBC1145,0,1.0,gmm_bic,0.9777777777777776,0.022222222222222365,0.9777777777777776,0.9777777777777776,0.9777777777777776
UBC1239,0,1.0,gmm_bic,0.9777777777777776,0.022222222222222365,0.9777777777777776,0.9777777777777776,0.9777777777777776
UBC1029,1,0.9885057471264368,heuristic_cut,0.967032967032967,0.021472780093469757,0.0,0.967032967032967,0.967032967032967
UBC1137,0,1.0,heuristic_cut,0.9787234042553192,0.02127659574468077,0.0,0.9787234042553192,0.0
UBC1158,0,1.0,gmm_bic,0.9787234042553192,0.02127659574468077,0.9787234042553192,0.9787234042553192,0.9787234042553192
UBC1122,0,1.0,heuristic_cut,0.979591836734694,0.020408163265306034,0.0,0.979591836734694,0.979591836734694
