Cluster,n_truth,n_release,n_tp,n_fn,n_fp,ks_stat,ks_pvalue,g_median_truth,g_median_release,delta_g_median,g_q90_truth,g_q90_release,delta_g_q90
UBC1001,29,29,29,0,0,0.0,1.0,15.190651,15.190651,0.0,17.074365999999998,17.074365999999998,0.0
UBC1002,71,68,68,3,0,0.022990886495443248,1.0,15.714017,15.711247,-0.002769999999999939,16.83727,16.8544288,0.017158800000000696
UBC1003,44,44,44,0,0,0.0,1.0,15.8766995,15.8766995,0.0,17.1782684,17.1782684,0.0
UBC1004,418,373,373,45,0,0.02138999704965558,0.9999674593496586,16.355164000000002,16.320105,-0.035059000000000395,17.5246162,17.5138308,-0.010785399999999612
UBC1005,31,31,31,0,0,0.0,1.0,15.135001,15.135001,0.0,17.185602,17.185602,0.0
UBC1006,77,77,77,0,0,0.0,1.0,15.924687,15.924687,0.0,17.3960514,17.3960514,0.0
UBC1007,32,32,32,0,0,0.0,1.0,14.8879455,14.8879455,0.0,17.1993688,17.1993688,0.0
UBC1008,29,28,28,1,0,0.029556650246305417,1.0,15.318593,15.44359825,0.12500525000000096,16.9584302,16.9721218,0.013691600000001358
UBC1009,46,46,46,0,0,0.0,1.0,15.548711,15.548711,0.0,17.185473,17.185473,0.0
UBC1010,46,45,45,1,0,0.014009661835748793,1.0,15.006119,14.996842,-0.009277000000000868,16.8080615,16.808286199999998,0.00022469999999685797
UBC1011,235,220,220,15,0,0.028239845261121856,0.9999531453175808,16.402073,16.318266,-0.08380700000000019,17.7357708,17.7094385,-0.026332299999999975
UBC1012,44,42,42,2,0,0.02922077922077922,1.0,15.823567,15.868965500000002,0.04539850000000101,17.214264,17.239478000000002,0.025214000000001846
UBC1013,50,49,49,1,0,0.010612244897959184,1.0,14.016136,13.995324,-0.020811999999999387,16.0611959,16.138918800000003,0.07772290000000126
UBC1014,28,28,28,0,0,0.0,1.0,15.011226,15.011226,0.0,17.1558834,17.1558834,0.0
UBC1015,565,360,360,205,0,0.10147492625368731,0.01975939248979127,16.458641,16.1733075,-0.28533350000000013,17.67769,17.5964156,-0.08127439999999808
