parameter,n_runs,median_abs_delta_f1,p90_abs_delta_f1,mean_abs_delta_f1,frac_le_0.01,frac_le_0.03,frac_le_0.05,frac_le_0.05_num,frac_leq_005,parameter_pretty,robustness_floor_group
objective_weights,718,0,0.0,0.0,1.0,1.0,1.0,1.0,100.0%,Objective weights,Stability floor
cap_backoff_ratio,718,0,0.0,0.0009410673865861,0.9832869080779943,0.9860724233983288,0.9916434540389972,0.9916434540389972,99.2%,Cap backoff ratio,Stability floor
center_blend,718,0,0.0,0.0013609517693078,0.9958217270194986,0.9972144846796658,0.9972144846796658,0.9972144846796658,99.7%,Center blend,Stability floor
ruwe_max,718,0,0.0,0.0014462971863789,0.979108635097493,0.99025069637883,0.9916434540389972,0.9916434540389972,99.2%,RUWE max,Stability floor
anchor_n,718,0,0.0,0.0016095407809029,0.9832869080779943,0.99025069637883,0.9944289693593314,0.9944289693593314,99.4%,Anchor number,Stability floor
center_limit,718,0,0.0,0.0018549295481439,0.9930362116991645,0.9958217270194986,0.9958217270194986,0.9958217270194986,99.6%,Center limit,Stability floor
candidate_mix,718,0,0.0,0.0022650817124763,0.9874651810584958,0.9944289693593314,0.9958217270194986,0.9958217270194986,99.6%,Candidate mix,Stability floor
support_tau,718,0,0.0,0.0023936457941837,0.9651810584958216,0.9860724233983288,0.9888579387186628,0.9888579387186628,98.9%,Support threshold $\tau$,Stability floor
beta_shift,718,0,0.0133301435406697,0.0152244432309108,0.8746518105849582,0.9526462395543176,0.9596100278551531,0.9596100278551531,96.0%,Beta shift $\beta$,Mild tail sensitivity
k_set,718,0,0.043477655705635,0.0245060943707133,0.6197771587743732,0.841225626740947,0.9122562674094707,0.9122562674094707,91.2%,Neighborhood set $K$,Pronounced tail sensitivity
